OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
20293,A628163,MOOCOW,CAT,A21-473517,FOSTER,,2021/09/27 07:00:00+00,FOSTER,2021/09/27 07:00:00+00,1Y 3M,WHITE,N,EMERGENCY
20294,A628163,MOOCOW,CAT,A21-473517,FOSTER,,2021/10/28 07:00:00+00,ADOPTION,2021/10/30 07:00:00+00,1Y 3M,WHITE,N,NORMAL
20295,A628164,,DOG,A21-473527,STRAY,FRUITRIDGE RD & STOCKTON BLVD,2021/09/10 07:00:00+00,DIED,2021/09/11 07:00:00+00,,BROWN,N,IN KENNEL
20296,A628165,ZOE,DOG,,STRAY,PRINCETON ST AT EL CAMINO AVE,2021/09/10 07:00:00+00,RTO,2021/09/15 07:00:00+00,1Y 5M,FAWN,S,IMP 1
20297,A628172,BENNIE,DOG,,STRAY,RIVERSIDE BLVD & DARNEL WAY,2021/09/10 07:00:00+00,RTO,2021/09/11 07:00:00+00,2Y,TAN,M,PHONE
20298,A628174,,DOG,,STRAY,ALMA VISTA WAY & VALLEY BROOK AVE,2021/09/10 07:00:00+00,ADOPTION,2021/09/18 07:00:00+00,3Y,BUFF,N,NORMAL
20299,A628175,,CAT,A21-473533,STRAY,13TH AVE & MARTIN LUTHER KING JR BLVD,2021/09/10 07:00:00+00,FOSTER,2021/09/10 07:00:00+00,2W,GRAY,M,BOTTLE BAB
20300,A628176,MOONPIE,CAT,A21-473533,STRAY,13TH AVE & MARTIN LUTHER KING JR BLVD,2021/09/10 07:00:00+00,FOSTER,2021/09/10 07:00:00+00,1Y 2M,GRAY,S,BOTTLE BAB
20301,A628176,MOONPIE,CAT,,FOSTER,,2021/09/24 07:00:00+00,FOSTER,2021/09/24 07:00:00+00,1Y 2M,GRAY,S,TRANSFER
20302,A628176,MOONPIE,CAT,,FOSTER,,2022/01/19 08:00:00+00,ADOPTION,2022/01/19 08:00:00+00,1Y 2M,GRAY,S,FOSTER
20303,A628177,MATTIE,DOG,,STRAY,ELEANOR AVE & NORWOOD AVE,2021/09/11 07:00:00+00,ADOPTION,2021/10/04 07:00:00+00,2Y,FAWN,N,NORMAL
20304,A628178,,DOG,,STRAY,MACK RD & VALLEY HI DR,2021/09/10 07:00:00+00,TRANSFER,2021/09/16 07:00:00+00,9Y,BLACK,M,RESCUE GRP
20305,A628179,,DOG,,STRAY,CALZADA WAY & SERIO WAY,2021/09/10 07:00:00+00,FOSTER,2021/09/10 07:00:00+00,1Y 10M,TAN,S,FOST2ADOPT
20306,A628179,,DOG,,FOSTER,,2021/10/08 07:00:00+00,ADOPTION,2021/10/08 07:00:00+00,1Y 10M,TAN,S,FOSTER
20307,A628180,PLUTO,DOG,,STRAY,AZAVEDO CT & BOWEN DR,2021/09/10 07:00:00+00,RTO,2021/09/12 07:00:00+00,4Y,BLACK,M,PHONE
20308,A628180,PLUTO,DOG,,STRAY,ORESTES WAY & AZEVEDO DR,2022/08/09 07:00:00+00,RTO,2022/08/10 07:00:00+00,4Y,BLACK,M,PHONE
20309,A628186,SYLVESTER,DOG,A21-474372,STRAY,36TH ST & 24TH AVE,2021/09/11 07:00:00+00,FOSTER,2021/09/26 07:00:00+00,8Y,BLACK,N,EMERGENCY
20310,A628186,SYLVESTER,DOG,,FOSTER,,2021/10/07 07:00:00+00,ADOPTION,2021/10/07 07:00:00+00,8Y,BLACK,N,FOSTER
20311,A628187,TWEETY,DOG,,FOSTER,,2021/10/07 07:00:00+00,ADOPTION,2021/10/07 07:00:00+00,7Y,BLACK,S,FOSTER
20312,A628187,TWEETY,DOG,,STRAY,36TH ST & 24TH AVE,2021/09/11 07:00:00+00,FOSTER,2021/09/26 07:00:00+00,7Y,BLACK,S,FOST2ADOPT
20313,A628189,,DOG,,STRAY,JESSIE AVE & TAYLOR ST,2021/09/04 07:00:00+00,,2021/12/04 08:00:00+00,,BLUE MERLE,U,
20314,A628190,,DOG,,STRAY,JESSIE AVE & TAYLOR ST,2021/09/04 07:00:00+00,,2021/12/04 08:00:00+00,,BLUE MERLE,U,
20315,A628192,YUKIO,DOG,,STRAY,JOHN STILL DR & 24TH ST,2021/09/10 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,3Y,RED,S,FOST2ADOPT
20316,A628192,YUKIO,DOG,,FOSTER,,2021/09/20 07:00:00+00,FOSTER,2021/09/26 07:00:00+00,3Y,RED,S,FOST2ADOPT
20317,A628192,YUKIO,DOG,,FOSTER,,2021/12/18 08:00:00+00,ADOPTION,2021/12/18 08:00:00+00,3Y,RED,S,FOSTER
20318,A628194,GIGI,DOG,,STRAY,FRUITRIDGE RD & MCGLASHAN ST,2021/09/10 07:00:00+00,,2021/09/11 07:00:00+00,6Y,TAN,S,AT ACC
20319,A628194,GIGI,DOG,,STRAY,FRUITRIDGE RD & MCGLASHAN ST,2021/09/11 07:00:00+00,RTO,2021/09/11 07:00:00+00,6Y,TAN,S,PHONE
20320,A628221,STELLA,DOG,,STRAY,DICKSON ST & BELLEAU WOOD LN,2021/09/11 07:00:00+00,RTO,2021/09/19 07:00:00+00,2Y,BLACK,F,PHONE
20321,A628227,LUCKY,DOG,,STRAY,ANN ARBOR WAY & DETROIT BLVD,2021/09/11 07:00:00+00,RTO,2021/09/13 07:00:00+00,8Y,GRAY,N,TEXT
20322,A628228,,CAT,A21-473565,STRAY,32ND AVE & 79TH ST,2021/09/11 07:00:00+00,EUTH FIELD,2021/09/11 07:00:00+00,8W,BLACK,M,MD/UNTREAT
20323,A628229,,CAT,A21-473565,STRAY,32ND AVE & 79TH ST,2021/09/11 07:00:00+00,EUTH FIELD,2021/09/11 07:00:00+00,8W,BLK TABBY,M,MD/UNTREAT
20324,A628230,BABY,DOG,,STRAY,BROADWAY & RIVERSIDE BLVD,2021/09/11 07:00:00+00,FOSTER,2021/09/23 07:00:00+00,1Y 11M,BLACK,S,FOST2ADOPT
20325,A628230,BABY,DOG,,FOSTER,,2021/10/12 07:00:00+00,ADOPTION,2021/10/13 07:00:00+00,1Y 11M,BLACK,S,FOSTER
20326,A628231,,DOG,,FOSTER,,2021/10/19 07:00:00+00,ADOPTION,2021/10/19 07:00:00+00,1Y 11M,BLACK,S,FOSTER
20327,A628231,,DOG,,STRAY,BROADWAY & RIVERSIDE BLVD,2021/09/11 07:00:00+00,FOSTER,2021/09/25 07:00:00+00,1Y 11M,BLACK,S,FOST2ADOPT
20328,A628233,SAM,DOG,,STRAY,DELTA SHORES CIR S & COSUMNES RIVER BLVD,2021/09/11 07:00:00+00,,2021/09/19 07:00:00+00,2Y,BLACK,N,AT ACC
20329,A628233,SAM,DOG,,STRAY,DELTA SHORES CIR S & COSUMNES RIVER BLVD,2021/09/19 07:00:00+00,ADOPTION,2021/10/05 07:00:00+00,2Y,BLACK,N,NORMAL
20330,A628234,,CAT,A21-473574,STRAY,PINEDALE AVE & PLACID CT,2021/09/11 07:00:00+00,EUTH VET,2021/09/26 07:00:00+00,,BRN TABBY,N,INJURED
20331,A628240,,DOG,,STRAY,43RD AVE & S LAND PARK DR,2021/09/12 07:00:00+00,ADOPTION,2021/09/29 07:00:00+00,1Y 5M,BLACK,N,NORMAL
20332,A628241,"LUCILLE ""LUCY""",DOG,A21-473579,STRAY,CLAREMONT WAY & MONTEREY RD,2021/09/12 07:00:00+00,RTO,2021/09/20 07:00:00+00,5Y,GRAY,F,TEXT
20333,A628242,,CAT,A21-473582,STRAY,52ND AVE & 24TH ST,2021/09/12 07:00:00+00,EUTH,2021/09/14 07:00:00+00,14W,GRAY TABBY,M,PHYS COND
20334,A628245,WEDO,DOG,,STRAY,ARDEN WAY & ROYAL OAKS DR.,2021/09/12 07:00:00+00,RTO,2021/09/13 07:00:00+00,4Y,WHITE,M,PHONE
20335,A628246,NOCHE,DOG,,STRAY,ARDEN WAY & ROYAL OAKS DR.,2021/09/12 07:00:00+00,RTO,2021/09/13 07:00:00+00,2Y,BLACK,F,PHONE
20336,A628255,GIGI,CAT,,STRAY,COPPER CREST CT & BROADLAND ST,2021/09/12 07:00:00+00,FOSTER,2021/09/12 07:00:00+00,1Y 3M,GRAY TABBY,S,EMERGENCY
20337,A628255,GIGI,CAT,,FOSTER,,2021/09/13 07:00:00+00,FOSTER,2021/09/13 07:00:00+00,1Y 3M,GRAY TABBY,S,TRANSFER
20338,A628255,GIGI,CAT,,FOSTER,,2021/09/26 07:00:00+00,FOSTER,2021/09/26 07:00:00+00,1Y 3M,GRAY TABBY,S,TRANSFER
20339,A628255,GIGI,CAT,,FOSTER,,2021/10/24 07:00:00+00,ADOPTION,2021/10/24 07:00:00+00,1Y 3M,GRAY TABBY,S,FOSTER
20340,A628256,,DOG,,STRAY,MCNAMARA WAY & SEA FOREST WAY,2021/09/12 07:00:00+00,,2021/12/12 08:00:00+00,,BROWN,F,
20341,A628269,MALISH,DOG,A21-473593,STRAY,DEL PASO AVE & CAREY RD,2021/09/12 07:00:00+00,RTO,2021/09/13 07:00:00+00,3Y,BLACK,M,PHONE
20342,A628271,DIESL,DOG,,STRAY,37TH ST & SHANKAR ALY,2021/09/12 07:00:00+00,EUTH,2021/09/21 07:00:00+00,9Y,BR BRINDLE,F,MD/UNTREAT
20343,A628273,SPAGHETTI,DOG,A21-473605,CONFISCATE,63RD ST & LEMON HILL AVE,2021/09/13 07:00:00+00,ADOPTION,2021/09/28 07:00:00+00,1Y 6M,TAN,N,NORMAL
20344,A628277,LULA,DOG,A21-473608,STRAY,RIO LINDA BLVD & SONOMA AVE,2021/09/13 07:00:00+00,FOSTER,2021/09/13 07:00:00+00,5Y,TAN,F,SPACE
20345,A628277,LULA,DOG,A21-473608,FOSTER,,2021/09/16 07:00:00+00,RTO,2021/09/16 07:00:00+00,5Y,TAN,F,PHONE
20346,A628278,,CAT,,STRAY,WAKEFIELD WAY & MILFORD ST,2021/09/13 07:00:00+00,,2021/09/13 07:00:00+00,,GRAY,N,AT ACC
20347,A628278,,CAT,,STRAY,WAKEFIELD WAY & MILFORD ST,2021/09/13 07:00:00+00,EUTH,2021/09/13 07:00:00+00,,GRAY,N,MD/UNTREAT
20348,A628279,FREDDIE,DOG,,STRAY,POCKET RD & RIVERSIDE BLVD,2021/09/13 07:00:00+00,ADOPTION,2021/10/06 07:00:00+00,4Y,WHITE,S,NORMAL
20349,A628279,FREDDIE,DOG,,STRAY,FLORIN RD & SHOAL CT,2021/07/17 07:00:00+00,RTO,2021/07/22 07:00:00+00,4Y,WHITE,S,PHONE
20350,A628279,FREDDIE,DOG,,STRAY,FLORIN RD & RIVERSIDE BLVD,2021/07/06 07:00:00+00,RTO,2021/07/07 07:00:00+00,4Y,WHITE,S,WEBSITE
20351,A628280,OLIVER,DOG,,STRAY,CAPPUCINO WAY & KELTON WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 9M,TAN,N,SPACE
20352,A628280,OLIVER,DOG,,FOSTER,,2021/09/30 07:00:00+00,ADOPTION,2021/09/30 07:00:00+00,1Y 9M,TAN,N,FOSTER
20353,A628281,KILO,DOG,A22-479648,STRAY,CLEVELAND AVE & AMERICAN AVE,2022/02/01 08:00:00+00,RTO,2022/02/01 08:00:00+00,2Y,BLACK,M,IMP 1
20354,A628291,ZIPPER,CAT,,FOSTER,,2021/10/20 07:00:00+00,ADOPTION,2021/10/21 07:00:00+00,1Y 3M,GRAY TABBY,N,NORMAL
20355,A628291,ZIPPER,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 3M,GRAY TABBY,N,UNDERAGE
20356,A628292,,DOG,,STRAY,MONTICELLO AVE & 2ND ST,2021/09/13 07:00:00+00,TRANSFER,2021/09/15 07:00:00+00,2Y,BLACK,M,SHELTER
20357,A628293,,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,5W,CALICO,F,UNDERAGE
20358,A628293,,CAT,,FOSTER,,2021/09/23 07:00:00+00,EUTH,2021/09/23 07:00:00+00,5W,CALICO,F,MD/UNTREAT
20359,A628294,MAGGIE,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 3M,GRAY,S,UNDERAGE
20360,A628294,MAGGIE,CAT,,FOSTER,,2021/10/27 07:00:00+00,ADOPTION,2021/10/27 07:00:00+00,1Y 3M,GRAY,S,FOSTER
20361,A628295,LILY,CAT,,FOSTER,,2021/10/27 07:00:00+00,ADOPTION,2021/10/27 07:00:00+00,1Y 3M,CALICO,S,FOSTER
20362,A628295,LILY,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 3M,CALICO,S,UNDERAGE
20363,A628296,BUTTONS,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 4M,BRN TABBY,N,UNDERAGE
20364,A628296,BUTTONS,CAT,,FOSTER,,2021/10/20 07:00:00+00,ADOPTION,2021/10/23 07:00:00+00,1Y 4M,BRN TABBY,N,NORMAL
20365,A628297,STATIC,CAT,A21-473556,FOSTER,,2021/10/20 07:00:00+00,ADOPTION,2021/10/22 07:00:00+00,1Y 3M,ORG TABBY,N,NORMAL
20366,A628297,STATIC,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 3M,ORG TABBY,N,UNDERAGE
20367,A628298,VELCRO,CAT,A21-473556,STRAY,VILLAGE CENTRE DR & LA MANCHA WAY,2021/09/13 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 4M,CHOC PT,N,UNDERAGE
20368,A628298,VELCRO,CAT,A21-473556,FOSTER,,2021/10/20 07:00:00+00,ADOPTION,2021/10/23 07:00:00+00,1Y 4M,CHOC PT,N,NORMAL
20369,A628306,HONEY,DOG,,STRAY,LOMA VERDE WAY AND 29TH ST,2021/09/13 07:00:00+00,RTO,2021/09/15 07:00:00+00,1Y 8M,BLACK,F,PHONE
20370,A628307,MELLY,CAT,,STRAY,DELTA SHORES CIR S & COSUMNES RIVER BLVD,2021/09/13 07:00:00+00,FOSTER,2021/09/15 07:00:00+00,1Y 4M,FLAME PT,S,UNDERAGE
20371,A628307,MELLY,CAT,,FOSTER,,2021/10/07 07:00:00+00,ADOPTION,2021/10/07 07:00:00+00,1Y 4M,FLAME PT,S,FOSTER
20372,A628308,,DOG,,FOSTER,,2021/09/18 07:00:00+00,ADOPTION,2021/09/21 07:00:00+00,2Y,TAN,N,FOSTER
20373,A628308,,DOG,,STRAY,DEL PASO BLVD & DAYTON ST,2021/09/13 07:00:00+00,FOSTER,2021/09/16 07:00:00+00,2Y,TAN,N,FOST2ADOPT
20374,A628309,,CAT,,STRAY,DEL PASO RD & KENMAR RD,2021/09/13 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,5W,GRAY TABBY,F,UNDERAGE
20375,A628309,,CAT,,FOSTER,DEL PASO RD & KENMAR RD,2021/09/15 07:00:00+00,FOSTER,2021/09/15 07:00:00+00,5W,GRAY TABBY,F,UNDERAGE
20376,A628310,,CAT,,STRAY,RIVER PLAZA DR & OAK HARBOUR DR,2021/09/13 07:00:00+00,RTF,2021/09/24 07:00:00+00,5Y,WHITE,N,FERAL
20377,A628311,,CAT,,STRAY,3018 CYPRESS ST,2021/09/13 07:00:00+00,FOSTER,2021/09/16 07:00:00+00,1Y 7M,GRAY,S,FOST2ADOPT
20378,A628311,,CAT,,FOSTER,,2021/10/07 07:00:00+00,ADOPTION,2021/10/07 07:00:00+00,1Y 7M,GRAY,S,FOSTER
20379,A628312,,CAT,,FOSTER,,2021/10/07 07:00:00+00,ADOPTION,2021/10/07 07:00:00+00,1Y 7M,GRAY TABBY,N,FOSTER
20380,A628312,,CAT,,STRAY,3018 CYPRESS ST,2021/09/13 07:00:00+00,FOSTER,2021/09/16 07:00:00+00,1Y 7M,GRAY TABBY,N,FOST2ADOPT
20381,A628313,,CAT,,STRAY,ARCHES CIR & AVIATOR CIR,2021/09/13 07:00:00+00,FOSTER,2021/09/15 07:00:00+00,1Y 3M,CHOC PT,N,UNDERAGE
20382,A628313,,CAT,,FOSTER,,2021/10/29 07:00:00+00,ADOPTION,2021/10/29 07:00:00+00,1Y 3M,CHOC PT,N,FOSTER
20383,A628314,,CAT,,FOSTER,,2021/10/29 07:00:00+00,ADOPTION,2021/10/29 07:00:00+00,1Y 3M,CHOC PT,S,FOSTER
20384,A628314,,CAT,,STRAY,ARCHES CIR & AVIATOR CIR,2021/09/13 07:00:00+00,FOSTER,2021/09/15 07:00:00+00,1Y 3M,CHOC PT,S,UNDERAGE
20385,A628316,,CAT,,STRAY,PLAZA AVE AND OAKMONT ST,2021/09/13 07:00:00+00,FOSTER,2021/09/18 07:00:00+00,1Y 6M,GRAY TABBY,N,FOST2ADOPT
20386,A628316,,CAT,,FOSTER,,2021/11/11 08:00:00+00,ADOPTION,2021/11/11 08:00:00+00,1Y 6M,GRAY TABBY,N,NON COMPLI
20387,A628317,YIN YANG,CAT,,FOSTER,,2021/10/29 07:00:00+00,ADOPTION,2021/11/07 07:00:00+00,2Y,BLACK,S,NORMAL
20388,A628317,YIN YANG,CAT,,STRAY,PLAZA AVE AND OAKMONT ST,2021/09/13 07:00:00+00,FOSTER,2021/09/21 07:00:00+00,2Y,BLACK,S,FOST2ADOPT
20389,A628318,,CAT,,STRAY,PLAZA AVE AND OAKMONT ST,2021/09/13 07:00:00+00,,2021/12/13 08:00:00+00,1Y 4M,BLACK,U,
20390,A628320,BENNY,DOG,A21-473630,STRAY,I ST & 30TH ST,2021/09/13 07:00:00+00,RTO,2021/09/15 07:00:00+00,5Y,BLUE BRINDLE,N,PHONE
20391,A628320,BENNY,DOG,,STRAY,52ND STREET & 14TH AVENUE,2021/12/30 08:00:00+00,RTO,2022/01/03 08:00:00+00,5Y,BLUE BRINDLE,N,WEBSITE
20392,A628320,BENNY,DOG,,STRAY,52ND STREET & 14TH AVENUE,2021/12/14 08:00:00+00,,2021/12/30 08:00:00+00,5Y,BLUE BRINDLE,N,AT ACC
20393,A628321,LUCKY,DOG,A21-473630,STRAY,3001 I ST & 30TH ST,2021/09/13 07:00:00+00,RTO,2021/09/15 07:00:00+00,3Y,BROWN,M,PHONE
20394,A628322,FAT BOY,DOG,A21-473630,STRAY,3001 I ST& 30TH ST,2021/09/13 07:00:00+00,RTO,2021/09/15 07:00:00+00,5Y,GRAY,N,PHONE
20395,A628322,FAT BOY,DOG,A21-476012,STRAY,27TH ST & 47TH AVE,2021/11/05 07:00:00+00,RTO,2021/11/08 08:00:00+00,5Y,GRAY,N,WEBSITE
20396,A628323,,DOG,A21-473631,STRAY,ARDEN WAY & CHALLENGE WAY,2021/09/13 07:00:00+00,EUTH VET,2021/09/13 07:00:00+00,2W,BLACK,M,SICK
20397,A628324,,DOG,,STRAY,68TH AVE & WILLOWWICK WAY,2021/09/13 07:00:00+00,,2021/12/13 08:00:00+00,,BROWN,U,
20398,A628325,ROBBIE,DOG,A21-473637,STRAY,VALLEY HI DR & VALLEY GREEN DR,2021/09/13 07:00:00+00,FOSTER,2021/09/29 07:00:00+00,8Y,BROWN,N,MEDICAL
20399,A628325,ROBBIE,DOG,A21-473637,FOSTER,,2021/12/13 08:00:00+00,ADOPTION,2021/12/13 08:00:00+00,8Y,BROWN,N,FOSTER
20400,A628325,ROBBIE,DOG,A21-473637,MEDICAL,,2022/02/24 08:00:00+00,RTO,2022/02/25 08:00:00+00,8Y,BROWN,N,IMP 1
20401,A628331,CHICO,DOG,,STRAY,18TH AVE & 55TH ST,2021/09/14 07:00:00+00,RTO,2021/09/16 07:00:00+00,6Y,BLACK,M,WEBSITE
20402,A628333,,CAT,A21-473646,STRAY,23RD AVE & FRANKLIN BLVD,2021/09/14 07:00:00+00,EUTH,2021/09/15 07:00:00+00,13W,BLACK,F,MD/UNTREAT
20403,A628334,LUKE,CAT,,STRAY,HERMOSA ST & 47TH ST,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 4M,ORG TABBY,N,UNDERAGE
20404,A628334,LUKE,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/11/17 08:00:00+00,FOSTER,2021/11/17 08:00:00+00,1Y 4M,ORG TABBY,N,SHORT TERM
20405,A628334,LUKE,CAT,,FOSTER,,2021/11/23 08:00:00+00,ADOPTION,2021/11/24 08:00:00+00,1Y 4M,ORG TABBY,N,NORMAL
20406,A628335,LEVON,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/10/28 07:00:00+00,FOSTER,2021/10/29 07:00:00+00,1Y 4M,ORG TABBY,N,SPACE
20407,A628335,LEVON,CAT,,FOSTER,,2021/10/29 07:00:00+00,ADOPTION,2021/10/30 07:00:00+00,1Y 4M,ORG TABBY,N,NORMAL
20408,A628335,LEVON,CAT,,STRAY,HERMOSA ST & 47TH ST,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 4M,ORG TABBY,N,UNDERAGE
20409,A628336,LINCOLN,CAT,,STRAY,HERMOSA ST & 47TH ST,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 4M,ORG TABBY,N,UNDERAGE
20410,A628336,LINCOLN,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/10/28 07:00:00+00,FOSTER,2021/10/29 07:00:00+00,1Y 4M,ORG TABBY,N,SPACE
20411,A628336,LINCOLN,CAT,,FOSTER,,2021/11/05 07:00:00+00,ADOPTION,2021/11/11 08:00:00+00,1Y 4M,ORG TABBY,N,PETCO
20412,A628337,LUNA,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/10/28 07:00:00+00,FOSTER,2021/10/29 07:00:00+00,1Y 4M,BRN TABBY,S,SPACE
20413,A628337,LUNA,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/10/30 07:00:00+00,ADOPTION,2021/10/30 07:00:00+00,1Y 4M,BRN TABBY,S,FOSTER
20414,A628337,LUNA,CAT,,STRAY,HERMOSA ST & 47TH ST,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 4M,BRN TABBY,S,UNDERAGE
20415,A628338,LAURIE,CAT,,STRAY,HERMOSA ST & 47TH ST,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 4M,BRN TABBY,S,UNDERAGE
20416,A628338,LAURIE,CAT,,FOSTER,,2021/10/30 07:00:00+00,ADOPTION,2021/10/30 07:00:00+00,1Y 4M,BRN TABBY,S,FOSTER
20417,A628338,LAURIE,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/10/28 07:00:00+00,FOSTER,2021/10/29 07:00:00+00,1Y 4M,BRN TABBY,S,SPACE
20418,A628339,LUCY,CAT,,FOSTER,HERMOSA ST & 47TH ST,2021/11/17 08:00:00+00,ADOPTION,2021/11/20 08:00:00+00,1Y 4M,BRN TABBY,S,NORMAL
20419,A628339,LUCY,CAT,,STRAY,HERMOSA ST & 47TH ST,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 4M,BRN TABBY,S,UNDERAGE
20420,A628340,JACK TRIPPER,CAT,,STRAY,3700 21ST AVE,2021/09/14 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 4M,BLACK,N,MEDICAL
20421,A628340,JACK TRIPPER,CAT,,FOSTER,,2021/11/03 07:00:00+00,ADOPTION,2021/11/05 07:00:00+00,1Y 4M,BLACK,N,NORMAL
20422,A628341,MR ROPER,CAT,,FOSTER,,2021/11/03 07:00:00+00,ADOPTION,2021/11/04 07:00:00+00,1Y 4M,GRAY,N,NORMAL
20423,A628341,MR ROPER,CAT,,STRAY,3700 21ST AVE,2021/09/14 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 4M,GRAY,N,MEDICAL
20424,A628342,CHRISSY,CAT,,STRAY,3700 21ST AVE,2021/09/14 07:00:00+00,FOSTER,2021/09/17 07:00:00+00,1Y 4M,GRAY,S,MEDICAL
20425,A628342,CHRISSY,CAT,,FOSTER,,2021/11/03 07:00:00+00,ADOPTION,2021/11/05 07:00:00+00,1Y 4M,GRAY,S,NORMAL
20426,A628343,LADYBUG,CAT,,FOSTER,,2021/12/27 08:00:00+00,ADOPTION,2021/12/27 08:00:00+00,1Y 2M,BLACK,S,FOSTER
20427,A628343,LADYBUG,CAT,,STRAY,COLUMBUS AVE & NORTHGATE BLVD,2021/09/14 07:00:00+00,FOSTER,2021/09/14 07:00:00+00,1Y 2M,BLACK,S,BOTTLE BAB
20428,A628344,BABEE,DOG,,STRAY,LA ALMANDRA WAY AND ESSEN WAY,2021/09/14 07:00:00+00,,2021/09/14 07:00:00+00,12Y,TAN,S,AT ACC
20429,A628344,BABEE,DOG,,STRAY,LA ALMANDRA WAY AND ESSEN WAY,2021/09/14 07:00:00+00,RTO,2021/09/14 07:00:00+00,12Y,TAN,S,PHONE
20430,A628345,FINN,DOG,,STRAY,58TH ST & VALLETTA WAY,2021/09/14 07:00:00+00,ADOPTION,2021/11/06 07:00:00+00,10Y,BLACK,N,NORMAL
20431,A628346,BOUQUET,DOG,,STRAY,58TH ST & VALLETTA WAY,2021/09/14 07:00:00+00,ADOPTION,2021/10/27 07:00:00+00,10Y,TAN,S,NORMAL
20432,A628348,,CAT,,STRAY,8710 JACKSON RD,2021/09/14 07:00:00+00,EUTH,2021/09/16 07:00:00+00,,GRAY TABBY,M,MD/UNTREAT
20433,A628349,,CAT,,STRAY,DEL PASO RD & KENMAR RD,2021/09/14 07:00:00+00,FOSTER,2021/09/15 07:00:00+00,8W,WHITE,M,UNDERAGE
20434,A628350,GROOT,CAT,,STRAY,DEL PASO RD & KENMAR RD,2021/09/14 07:00:00+00,FOSTER,2021/09/15 07:00:00+00,1Y 3M,GRAY TABBY,S,UNDERAGE
20435,A628350,GROOT,CAT,,FOSTER,,2021/12/21 08:00:00+00,ADOPTION,2021/12/21 08:00:00+00,1Y 3M,GRAY TABBY,S,FOSTER
20436,A628350,GROOT,CAT,,RETURN,,2021/12/17 08:00:00+00,FOSTER,2021/12/17 08:00:00+00,1Y 3M,GRAY TABBY,S,EMERGENCY
20437,A628350,GROOT,CAT,,FOSTER,,2021/12/11 08:00:00+00,ADOPTION,2021/12/11 08:00:00+00,1Y 3M,GRAY TABBY,S,FOSTER
20438,A628351,,CAT,,STRAY,DEL PASO RD & KENMAR RD,2021/09/14 07:00:00+00,EUTH,2021/09/28 07:00:00+00,5W,GRAY TABBY,F,MD/UNTREAT
20439,A628352,LISTO,DOG,,STRAY,LAWRENCE DR AND MCGLASHEN DR,2021/09/14 07:00:00+00,,2021/09/14 07:00:00+00,8Y,BLUE BRINDLE,M,AT ACC
20440,A628352,LISTO,DOG,,STRAY,LAWRENCE DR AND MCGLASHEN DR,2021/09/14 07:00:00+00,RTO,2021/09/15 07:00:00+00,8Y,BLUE BRINDLE,M,WEBSITE
20441,A628363,MARS,DOG,,STRAY,NATOMAS,2021/09/14 07:00:00+00,ADOPTION,2021/10/20 07:00:00+00,1Y 8M,BLACK,N,NORMAL
20442,A628363,MARS,DOG,,RETURN,,2021/11/07 07:00:00+00,ADOPTION,2021/11/09 08:00:00+00,1Y 8M,BLACK,N,NORMAL
