OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
48,A427034,JERUSHA,CAT,A21-463513,OWNER SUR,,2021/02/11 08:00:00+00,EUTH,2021/02/11 08:00:00+00,19Y,GRAY,S,PHYS COND
49,A429910,BABY GIRL,DOG,A22-481604,STRAY,,2022/03/17 07:00:00+00,ADOPTION,2022/03/19 07:00:00+00,13Y,BLACK,S,NORMAL
50,A430634,LADY,DOG,A20-456620,CONFISCATE,52ND AVE AND 24TH ST,2020/07/08 07:00:00+00,FOSTER,2020/07/22 07:00:00+00,,GRAY,S,EMERGENCY
51,A430634,LADY,DOG,A20-456620,FOSTER,,2020/08/07 07:00:00+00,ADOPTION,2020/08/07 07:00:00+00,,GRAY,S,EMERGENCY
52,A433127,NALA,DOG,,STRAY,FLORIN RD & FRANKLIN BLVD,2022/05/23 07:00:00+00,RTO,2022/05/26 07:00:00+00,9Y,TAN,S,PHONE
53,A434063,BANSHEE,DOG,A20-457985,STRAY,HEATH WAY & GRANDSTAFF DR,2020/08/17 07:00:00+00,RTO,2020/08/17 07:00:00+00,,TRICOLOR,N,PHONE
54,A434349,JASPER,CAT,A21-469850,CONFISCATE,GLORIA DR & 43RD AVE,2021/06/19 07:00:00+00,EUTH,2021/07/02 07:00:00+00,7Y,GRAY,N,MD/UNTREAT
55,A434523,BUDDY,DOG,A22-492496,STRAY,MEADOWVIEW RD & FREEPORT BLVD,2022/10/25 00:00:00+00,,,13Y,TAN,N,
56,A435986,STRIPCHICKEN,DOG,A22-481690,STRAY,U ST & 12TH ST,2022/03/18 07:00:00+00,EUTH,2022/03/24 07:00:00+00,13Y,TAN,S,PHYS COND
57,A439080,SIDNEY,DOG,A22-478806,OWNER SUR,TILLMAN CIR & TANGERINE AVE,2021/01/14 08:00:00+00,EUTH,2022/02/02 08:00:00+00,8Y,BROWN,S,BEHAVIOR
58,A439272,BRODY,DOG,,FOSTER,,2020/10/02 07:00:00+00,FOSTER,2020/10/29 07:00:00+00,10Y,TAN,N,EMERGENCY
59,A439272,BRODY,DOG,,FOSTER,,2020/11/03 08:00:00+00,FOSTER,2020/11/03 08:00:00+00,10Y,TAN,N,EMERGENCY
60,A439272,BRODY,DOG,,FOSTER,,2020/12/15 08:00:00+00,ADOPTION,2020/12/15 08:00:00+00,10Y,TAN,N,EMERGENCY
61,A439272,BRODY,DOG,,FOSTER,,2020/08/17 07:00:00+00,FOSTER,2020/09/14 07:00:00+00,10Y,TAN,N,EMERGENCY
62,A439272,BRODY,DOG,,FOSTER,,2020/08/14 07:00:00+00,FOSTER,2020/08/16 07:00:00+00,10Y,TAN,N,EMERGENCY
63,A439272,BRODY,DOG,,FOSTER,,2020/07/25 07:00:00+00,FOSTER,2020/08/11 07:00:00+00,10Y,TAN,N,EMERGENCY
64,A439272,BRODY,DOG,,FOSTER,,2020/10/02 07:00:00+00,FOSTER,2020/10/02 07:00:00+00,10Y,TAN,N,EMERGENCY
65,A439272,BRODY,DOG,A20-456627,STRAY,BUTTERWICK CT & GRACE AVE,2020/07/08 07:00:00+00,FOSTER,2020/07/20 07:00:00+00,10Y,TAN,N,EMERGENCY
66,A439272,BRODY,DOG,A20-456359,STRAY,DEBRALEE WAY & FRAYNE WAY,2020/06/30 07:00:00+00,RTO,2020/06/30 07:00:00+00,10Y,TAN,N,IMP 4
67,A439272,BRODY,DOG,,STRAY,RIO LINDA BLVD & BELL AVE,2019/11/10 08:00:00+00,RTO,2019/11/16 08:00:00+00,10Y,TAN,N,IMP 1
68,A439272,BRODY,DOG,A20-449552,STRAY,BERTHOUD ST & NORWOOD AVE,2019/12/27 08:00:00+00,RTO,2020/01/03 08:00:00+00,10Y,TAN,N,WEBSITE
69,A442301,CHARLIE,DOG,,STRAY,BELL ST AT HURLEY WAY,2021/02/20 08:00:00+00,,2021/02/21 08:00:00+00,9Y,CREAM,N,PET UNIFY
70,A442422,BOB THE DOG,DOG,A22-485646,STRAY,FREEPORT BLVD & MEER WAY,2022/06/05 07:00:00+00,RTO,2022/06/09 07:00:00+00,,BLACK,N,IMP NOTICE
71,A443538,MAXIMUS,DOG,A19-447337,FOSTER,,2019/12/23 08:00:00+00,ADOPTION,2019/12/23 08:00:00+00,12Y,RED,N,FOSTER
72,A443538,MAXIMUS,DOG,A19-447337,STRAY,5TH ST & BROADWAY,2019/11/04 08:00:00+00,FOSTER,2019/11/06 08:00:00+00,12Y,RED,N,SPACE
73,A445498,RILEY,DOG,A19-448702,CONFISCATE,7550 BLUEBROOK WAY,2019/12/16 08:00:00+00,RTO,2019/12/21 08:00:00+00,6Y,WHITE,N,IMP 1
74,A445498,RILEY,DOG,A20-452705,CONFISCATE,BLUEBROOK WAY & SAMOS WAY,2020/03/13 07:00:00+00,FOSTER,2020/03/19 07:00:00+00,6Y,WHITE,N,EMERGENCY
75,A445498,RILEY,DOG,A20-452705,FOSTER,,2020/04/01 07:00:00+00,FOSTER,2020/04/02 07:00:00+00,6Y,WHITE,N,EMERGENCY
76,A445498,RILEY,DOG,A20-452705,FOSTER,,2020/06/23 07:00:00+00,EUTH,2020/06/23 07:00:00+00,6Y,WHITE,N,MD/UNTREAT
